"Copper & Graphite"
"Current date: 04/02/2026 11:34 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","Venezuela","2016","643,939"
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought","Venezuela","2017","190,220"
"7404 Copper Waste And Scrap","South/Central America","2015","38,656,349"
"7404 Copper Waste And Scrap","South/Central America","2016","27,345,032"
"7404 Copper Waste And Scrap","South/Central America","2017","53,390,065"
"7404 Copper Waste And Scrap","South/Central America","2018","58,607,617"
"7404 Copper Waste And Scrap","South/Central America","2019","58,092,433"
"7404 Copper Waste And Scrap","South/Central America","2020","39,163,695"
"7404 Copper Waste And Scrap","South/Central America","2021","90,148,933"
"7404 Copper Waste And Scrap","South/Central America","2022","75,563,499"
"7404 Copper Waste And Scrap","South/Central America","2023","62,450,596"
"7404 Copper Waste And Scrap","South/Central America","2024","86,009,713"
"7404 Copper Waste And Scrap","South/Central America","2025","64,508,118"
"7404 Copper Waste And Scrap","South America","2015","14,065,161"
"7404 Copper Waste And Scrap","South America","2016","12,468,592"
"7404 Copper Waste And Scrap","South America","2017","25,096,830"
"7404 Copper Waste And Scrap","South America","2018","28,934,798"
"7404 Copper Waste And Scrap","South America","2019","22,595,646"
"7404 Copper Waste And Scrap","South America","2020","10,703,065"
"7404 Copper Waste And Scrap","South America","2021","21,971,070"
"7404 Copper Waste And Scrap","South America","2022","9,495,759"
"7404 Copper Waste And Scrap","South America","2023","8,700,440"
"7404 Copper Waste And Scrap","South America","2024","18,777,110"
"7404 Copper Waste And Scrap","South America","2025","9,084,314"
"7404 Copper Waste And Scrap","Argentina","2024","2,957"
"7404 Copper Waste And Scrap","Bolivia","2016","234,394"
"7404 Copper Waste And Scrap","Bolivia","2017","138,771"
"7404 Copper Waste And Scrap","Bolivia","2018","333,369"
"7404 Copper Waste And Scrap","Bolivia","2019","998,218"
"7404 Copper Waste And Scrap","Bolivia","2020","317,594"
"7404 Copper Waste And Scrap","Bolivia","2021","2,432,025"
"7404 Copper Waste And Scrap","Bolivia","2022","758,962"
"7404 Copper Waste And Scrap","Bolivia","2023","509,428"
"7404 Copper Waste And Scrap","Bolivia","2024","5,459,828"
"7404 Copper Waste And Scrap","Bolivia","2025","548,644"
"7404 Copper Waste And Scrap","Brazil","2015","2,943,479"
"7404 Copper Waste And Scrap","Brazil","2016","1,177,406"
"7404 Copper Waste And Scrap","Brazil","2017","737,333"
"7404 Copper Waste And Scrap","Brazil","2018","2,061,372"
"7404 Copper Waste And Scrap","Brazil","2019","1,477,380"
"7404 Copper Waste And Scrap","Brazil","2020","491,951"
"7404 Copper Waste And Scrap","Brazil","2021","483,986"
"7404 Copper Waste And Scrap","Brazil","2022","892,500"
"7404 Copper Waste And Scrap","Brazil","2023","1,877,407"
"7404 Copper Waste And Scrap","Brazil","2024","269,439"
"7404 Copper Waste And Scrap","Brazil","2025","68,726"
"7404 Copper Waste And Scrap","Chile","2015","1,660,019"
"7404 Copper Waste And Scrap","Chile","2016","485,550"
"7404 Copper Waste And Scrap","Chile","2017","1,051,701"
"7404 Copper Waste And Scrap","Chile","2018","1,643,281"
"7404 Copper Waste And Scrap","Chile","2019","7,295,643"
"7404 Copper Waste And Scrap","Chile","2020","757,570"
"7404 Copper Waste And Scrap","Chile","2021","704,887"
"7404 Copper Waste And Scrap","Chile","2022","285,433"
"7404 Copper Waste And Scrap","Chile","2023","123,800"
"7404 Copper Waste And Scrap","Chile","2024","779,236"
"7404 Copper Waste And Scrap","Chile","2025","253,900"
"7404 Copper Waste And Scrap","Colombia","2015","5,920,437"
"7404 Copper Waste And Scrap","Colombia","2016","4,750,477"
"7404 Copper Waste And Scrap","Colombia","2017","7,521,142"
"7404 Copper Waste And Scrap","Colombia","2018","5,853,310"
"7404 Copper Waste And Scrap","Colombia","2019","6,129,147"
"7404 Copper Waste And Scrap","Colombia","2020","3,737,576"
"7404 Copper Waste And Scrap","Colombia","2021","3,806,393"
"7404 Copper Waste And Scrap","Colombia","2022","1,644,870"
"7404 Copper Waste And Scrap","Colombia","2023","1,468,751"
"7404 Copper Waste And Scrap","Colombia","2024","2,478,468"
"7404 Copper Waste And Scrap","Colombia","2025","1,726,970"
"7404 Copper Waste And Scrap","Ecuador","2015","1,104,305"
"7404 Copper Waste And Scrap","Ecuador","2016","778,312"
"7404 Copper Waste And Scrap","Ecuador","2017","1,154,180"
"7404 Copper Waste And Scrap","Ecuador","2018","1,003,538"
"7404 Copper Waste And Scrap","Ecuador","2019","1,322,557"
"7404 Copper Waste And Scrap","Ecuador","2020","497,349"
"7404 Copper Waste And Scrap","Ecuador","2021","1,924,527"
"7404 Copper Waste And Scrap","Ecuador","2022","535,515"
"7404 Copper Waste And Scrap","Ecuador","2023","741,171"
"7404 Copper Waste And Scrap","Ecuador","2024","3,341,767"
"7404 Copper Waste And Scrap","Ecuador","2025","1,401,557"
