"Lithium, Cobalt, Sliver"
"Current date: 04/02/2026 11:41 AM (Eastern Daylight Time)"
"Commodity","Country","Time","Customs Value (Gen) ($US)",
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2015","454,919,582"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2016","703,602,686"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2017","632,165,543"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2018","598,583,021"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2019","405,381,694"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2020","378,993,301"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2021","297,211,568"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2022","283,135,890"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2023","285,186,626"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2024","369,000,462"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South/Central America","2025","344,689,937"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2015","383,811,319"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2016","568,907,748"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2017","596,476,740"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2018","596,997,272"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2019","404,382,547"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2020","356,117,556"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2021","295,560,760"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2022","270,771,527"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2023","278,599,279"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2024","361,989,064"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","South America","2025","338,518,052"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2015","109,773,165"
"7106 Silver (incl Prec Plated), Unwr, Semimfr Or Powder","Argentina","2016","84,205,662"
