HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7404,Copper Waste And Scrap,2012,Feb,Suriname,508733,2.07,105.2954,483148.36165682453,Refined / Articles
7404,Copper Waste And Scrap,2012,Mar,Suriname,357850,2.07,105.2954,339853.4029026909,Refined / Articles
7404,Copper Waste And Scrap,2012,Apr,Suriname,75736,2.07,105.2954,71927.16870822466,Refined / Articles
7404,Copper Waste And Scrap,2012,May,Suriname,150566,2.07,105.2954,142993.90096813347,Refined / Articles
7404,Copper Waste And Scrap,2012,Jun,Suriname,473287,2.07,105.2954,449484.9727528458,Refined / Articles
7404,Copper Waste And Scrap,2012,Jul,Suriname,154695,2.07,105.2954,146915.2498589682,Refined / Articles
7404,Copper Waste And Scrap,2012,Aug,Suriname,407422,2.07,105.2954,386932.3826112062,Refined / Articles
7404,Copper Waste And Scrap,2012,Sep,Suriname,434195,2.07,105.2954,412358.9444553133,Refined / Articles
7404,Copper Waste And Scrap,2012,Oct,Suriname,171017,2.07,105.2954,162416.40185611148,Refined / Articles
7404,Copper Waste And Scrap,2012,Nov,Suriname,294264,2.07,105.2954,279465.19980929844,Refined / Articles
7404,Copper Waste And Scrap,2012,Dec,Suriname,344451,2.07,105.2954,327128.25061683607,Refined / Articles
7404,Copper Waste And Scrap,2013,Jan,Suriname,482956,1.46,106.8327,452067.57855974813,Refined / Articles
7404,Copper Waste And Scrap,2013,Feb,Suriname,119917,1.46,106.8327,112247.46730167823,Refined / Articles
7404,Copper Waste And Scrap,2013,Mar,Suriname,296850,1.46,106.8327,277864.36175440665,Refined / Articles
7404,Copper Waste And Scrap,2013,May,Suriname,140582,1.46,106.8327,131590.795702065,Refined / Articles
7404,Copper Waste And Scrap,2013,Jun,Suriname,121238,1.46,106.8327,113483.98009223767,Refined / Articles
7404,Copper Waste And Scrap,2013,Jul,Suriname,118509,1.46,106.8327,110929.5187709381,Refined / Articles
7404,Copper Waste And Scrap,2013,Aug,Suriname,237852,1.46,106.8327,222639.69739602198,Refined / Articles
7404,Copper Waste And Scrap,2013,Sep,Suriname,145670,1.46,106.8327,136353.3824381486,Refined / Articles
7404,Copper Waste And Scrap,2013,Oct,Suriname,138410,1.46,106.8327,129557.71032651987,Refined / Articles
7404,Copper Waste And Scrap,2013,Nov,Suriname,383942,1.46,106.8327,359386.2178902153,Refined / Articles
