Commodities,Countries,Nominal_Value,HS_Code,Month,Year,Inflation_Rate,CPI,Real_Value,CategoryType,YearMonth
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Malaysia,274464,7612,7,2023,3.4,140.12234721345354,195874.538,Other,2023-07-01
"7508 Articles Of Nickel, Nesoi",Malaysia,15520,7508,3,2014,0.8,107.17284311999997,14481.28,Refined/Articles,2014-03-01
7408 Copper Wire,Philippines,6057,7408,10,2012,1.7,104.75099999999999,5782.284,Refined/Articles,2012-10-01
7907 Articles Of Zinc Nesoi,Vietnam,335491,7907,12,2022,6.5,135.51484256620265,247567.716,Refined/Articles,2022-12-01
7419 Articles Of Copper Nesoi,Malaysia,79870,7419,5,2020,1.4,118.91961086938058,67163.018,Refined/Articles,2020-05-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,12893,8108,1,2016,2.1,110.18943713529859,11700.759,Ore/Raw,2016-01-01
"7508 Articles Of Nickel, Nesoi",Singapore,157469,7508,5,2017,2.1,112.50341531513985,139968.195,Refined/Articles,2017-05-01
"7604 Aluminum Bars, Rods And Profiles",Malaysia,2199524,7604,10,2016,2.1,110.18943713529859,1996129.627,Refined/Articles,2016-10-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,2582000,7610,2,2018,1.9,114.6409802061275,2252248.712,Refined/Articles,2018-02-01
"7508 Articles Of Nickel, Nesoi",Thailand,35852,7508,7,2024,2.9,144.18589528264368,24865.123,Refined/Articles,2024-07-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,2400,7604,6,2020,1.4,118.91961086938058,2018.17,Refined/Articles,2020-06-01
7419 Articles Of Copper Nesoi,Indonesia,449286,7419,2,2017,2.1,112.50341531513985,399353.21,Refined/Articles,2017-02-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,24529801,7606,10,2018,1.9,114.6409802061275,21397061.466,Refined/Articles,2018-10-01
7608 Aluminum Tubes And Pipes,Thailand,13169,7608,8,2016,2.1,110.18943713529859,11951.236,Refined/Articles,2016-08-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,1145278,7606,6,2015,0.7,107.92305302183996,1061198.667,Refined/Articles,2015-06-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,675373,7612,7,2022,6.5,135.51484256620265,498375.667,Other,2022-07-01
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Singapore,18090,3801,2,2025,2.7,148.07891445527505,12216.459,Other,2025-02-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,4185224,7604,1,2016,2.1,110.18943713529859,3798207.985,Refined/Articles,2016-01-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,1252649,7610,10,2012,1.7,104.75099999999999,1195834.885,Refined/Articles,2012-10-01
7411 Copper Tubes And Pipes,Vietnam,1196463,7411,8,2025,2.7,148.07891445527505,807990.121,Refined/Articles,2025-08-01
7907 Articles Of Zinc Nesoi,Vietnam,758854,7907,6,2022,6.5,135.51484256620265,559978.513,Refined/Articles,2022-06-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,78049,8108,12,2011,3.0,103.0,75775.728,Ore/Raw,2011-12-01
7411 Copper Tubes And Pipes,Vietnam,200770,7411,6,2024,2.9,144.18589528264368,139243.856,Refined/Articles,2024-06-01
7412 Copper Tube Or Pipe Fittings,Thailand,1501693,7412,2,2012,1.7,104.75099999999999,1433583.45,Other,2012-02-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Vietnam,7786,8108,11,2023,3.4,140.12234721345354,5556.573,Ore/Raw,2023-11-01
7616 Articles Of Aluminum Nesoi,Malaysia,1660867,7616,6,2011,3.0,103.0,1612492.233,Refined/Articles,2011-06-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Philippines,148250,7612,2,2022,6.5,135.51484256620265,109397.611,Other,2022-02-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Indonesia,15511,7614,3,2015,0.7,107.92305302183996,14372.277,Refined/Articles,2015-03-01
"7901 Zinc, Unwrought",Thailand,3000,7901,2,2024,2.9,144.18589528264368,2080.647,Refined/Articles,2024-02-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,2354310,7607,5,2025,2.7,148.07891445527505,1589902.255,Refined/Articles,2025-05-01
7408 Copper Wire,Thailand,1467045,7408,9,2012,1.7,104.75099999999999,1400506.916,Refined/Articles,2012-09-01
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Vietnam,75880,7403,1,2025,2.7,148.07891445527505,51242.947,Refined/Articles,2025-01-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,288172,7607,10,2016,2.1,110.18943713529859,261524.16,Refined/Articles,2016-10-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,689398,8108,11,2022,6.5,135.51484256620265,508725.086,Ore/Raw,2022-11-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,427646,7606,8,2019,2.3,117.27772275086842,364643.847,Refined/Articles,2019-08-01
7616 Articles Of Aluminum Nesoi,Malaysia,1416796,7616,6,2025,2.7,148.07891445527505,956784.432,Refined/Articles,2025-06-01
7608 Aluminum Tubes And Pipes,Indonesia,755653,7608,5,2015,0.7,107.92305302183996,700177.561,Refined/Articles,2015-05-01
7411 Copper Tubes And Pipes,Indonesia,140837,7411,3,2022,6.5,135.51484256620265,103927.361,Refined/Articles,2022-03-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,1017071,7604,9,2018,1.9,114.6409802061275,887179.26,Refined/Articles,2018-09-01
7605 Aluminum Wire,Singapore,14400,7605,3,2025,2.7,148.07891445527505,9724.545,Refined/Articles,2025-03-01
7419 Articles Of Copper Nesoi,Thailand,963060,7419,9,2017,2.1,112.50341531513985,856027.346,Refined/Articles,2017-09-01
7412 Copper Tube Or Pipe Fittings,Indonesia,386329,7412,10,2011,3.0,103.0,375076.699,Other,2011-10-01
"7508 Articles Of Nickel, Nesoi",Indonesia,813869,7508,8,2018,1.9,114.6409802061275,709928.508,Refined/Articles,2018-08-01
7907 Articles Of Zinc Nesoi,Philippines,70668,7907,10,2020,1.4,118.91961086938058,59425.018,Refined/Articles,2020-10-01
7616 Articles Of Aluminum Nesoi,Thailand,381624,7616,10,2010,1.5,100.0,381624.0,Refined/Articles,2010-10-01
7404 Copper Waste And Scrap,Philippines,8996,7404,2,2017,2.1,112.50341531513985,7996.202,Ore/Raw,2017-02-01
7616 Articles Of Aluminum Nesoi,Thailand,434498,7616,9,2013,1.5,106.32226499999997,408661.347,Refined/Articles,2013-09-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,2015639,7610,5,2019,2.3,117.27772275086842,1718688.727,Refined/Articles,2019-05-01
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,10508,7403,6,2012,1.7,104.75099999999999,10031.408,Refined/Articles,2012-06-01
7411 Copper Tubes And Pipes,Malaysia,1619479,7411,10,2024,2.9,144.18589528264368,1123188.226,Refined/Articles,2024-10-01
"7604 Aluminum Bars, Rods And Profiles",Singapore,19395,7604,4,2019,2.3,117.27772275086842,16537.668,Refined/Articles,2019-04-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,256114,7418,2,2025,2.7,148.07891445527505,172957.778,Other,2025-02-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,9057,7418,10,2022,6.5,135.51484256620265,6683.401,Other,2022-10-01
7419 Articles Of Copper Nesoi,Thailand,571558,7419,8,2013,1.5,106.32226499999997,537571.317,Refined/Articles,2013-08-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,25084,7415,12,2021,7.0,127.24398363023722,19713.309,Other,2021-12-01
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,22873,8105,3,2015,0.7,107.92305302183996,21193.804,Ore/Raw,2015-03-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,296417,7606,10,2013,1.5,106.32226499999997,278791.089,Refined/Articles,2013-10-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Vietnam,113900,2846,9,2013,1.5,106.32226499999997,107127.138,Compound,2013-09-01
7412 Copper Tube Or Pipe Fittings,Indonesia,1668034,7412,9,2022,6.5,135.51484256620265,1230886.572,Other,2022-09-01
7404 Copper Waste And Scrap,Vietnam,79187,7404,9,2020,1.4,118.91961086938058,66588.681,Ore/Raw,2020-09-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Brunei,11987,7610,6,2021,7.0,127.24398363023722,9420.485,Refined/Articles,2021-06-01
7412 Copper Tube Or Pipe Fittings,Malaysia,107823,7412,12,2019,2.3,117.27772275086842,91938.177,Other,2019-12-01
7503 Nickel Waste And Scrap,Singapore,1050157,7503,12,2017,2.1,112.50341531513985,933444.551,Ore/Raw,2017-12-01
"7407 Copper Bars, Rods And Profiles",Thailand,278971,7407,1,2013,1.5,106.32226499999997,262382.484,Refined/Articles,2013-01-01
7616 Articles Of Aluminum Nesoi,Indonesia,2255261,7616,1,2024,2.9,144.18589528264368,1564134.27,Refined/Articles,2024-01-01
7412 Copper Tube Or Pipe Fittings,Thailand,1509881,7412,2,2018,1.9,114.6409802061275,1317051.719,Other,2018-02-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,248197,7604,8,2012,1.7,104.75099999999999,236939.981,Refined/Articles,2012-08-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,1199483,7610,3,2018,1.9,114.6409802061275,1046295.136,Refined/Articles,2018-03-01
7608 Aluminum Tubes And Pipes,Thailand,11053,7608,9,2017,2.1,112.50341531513985,9824.591,Refined/Articles,2017-09-01
7419 Articles Of Copper Nesoi,Malaysia,200962,7419,12,2016,2.1,110.18943713529859,182378.643,Refined/Articles,2016-12-01
7602 Aluminum Waste And Scrap,Thailand,892060,7602,3,2016,2.1,110.18943713529859,809569.432,Ore/Raw,2016-03-01
7419 Articles Of Copper Nesoi,Malaysia,163201,7419,4,2016,2.1,110.18943713529859,148109.478,Refined/Articles,2016-04-01
7412 Copper Tube Or Pipe Fittings,Indonesia,1470786,7412,3,2021,7.0,127.24398363023722,1155878.618,Other,2021-03-01
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,58411,8105,9,2015,0.7,107.92305302183996,54122.82,Ore/Raw,2015-09-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,67368,7606,4,2016,2.1,110.18943713529859,61138.347,Refined/Articles,2016-04-01
"7903 Zinc Dust, Powders And Flakes",Malaysia,84472,7903,12,2017,2.1,112.50341531513985,75083.943,Other,2017-12-01
"7604 Aluminum Bars, Rods And Profiles",Philippines,3938,7604,3,2017,2.1,112.50341531513985,3500.338,Refined/Articles,2017-03-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,12470,8108,4,2018,1.9,114.6409802061275,10877.437,Ore/Raw,2018-04-01
7412 Copper Tube Or Pipe Fittings,Thailand,1934687,7412,3,2010,1.5,100.0,1934687.0,Other,2010-03-01
"7508 Articles Of Nickel, Nesoi",Indonesia,728772,7508,5,2025,2.7,148.07891445527505,492151.096,Refined/Articles,2025-05-01
"7601 Aluminum, Unwrought",Thailand,217069,7601,5,2019,2.3,117.27772275086842,185089.713,Refined/Articles,2019-05-01
7608 Aluminum Tubes And Pipes,Malaysia,157553,7608,7,2020,1.4,118.91961086938058,132486.979,Refined/Articles,2020-07-01
7608 Aluminum Tubes And Pipes,Indonesia,142435,7608,11,2025,2.7,148.07891445527505,96188.577,Refined/Articles,2025-11-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,738260,2846,12,2023,3.4,140.12234721345354,526868.137,Compound,2023-12-01
7411 Copper Tubes And Pipes,Indonesia,50477,7411,5,2020,1.4,118.91961086938058,42446.321,Refined/Articles,2020-05-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,2703416,7607,7,2020,1.4,118.91961086938058,2273313.863,Refined/Articles,2020-07-01
7419 Articles Of Copper Nesoi,Indonesia,386985,7419,5,2014,0.8,107.17284311999997,361084.943,Refined/Articles,2014-05-01
7608 Aluminum Tubes And Pipes,Thailand,21420,7608,8,2022,6.5,135.51484256620265,15806.387,Refined/Articles,2022-08-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,58423,7410,8,2022,6.5,135.51484256620265,43111.883,Refined/Articles,2022-08-01
7907 Articles Of Zinc Nesoi,Thailand,77480,7907,2,2014,0.8,107.17284311999997,72294.434,Refined/Articles,2014-02-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,64840,8108,6,2017,2.1,112.50341531513985,57633.806,Ore/Raw,2017-06-01
"7508 Articles Of Nickel, Nesoi",Indonesia,594449,7508,12,2020,1.4,118.91961086938058,499874.66,Refined/Articles,2020-12-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,21789,7413,11,2017,2.1,112.50341531513985,19367.412,Refined/Articles,2017-11-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,37853,7410,10,2024,2.9,144.18589528264368,26252.915,Refined/Articles,2024-10-01
7605 Aluminum Wire,Malaysia,55689,7605,3,2024,2.9,144.18589528264368,38623.057,Refined/Articles,2024-03-01
7609 Aluminum Tube Or Pipe Fittings,Singapore,9487,7609,10,2014,0.8,107.17284311999997,8852.056,Other,2014-10-01
7605 Aluminum Wire,Malaysia,15764,7605,7,2023,3.4,140.12234721345354,11250.168,Refined/Articles,2023-07-01
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,28464,8105,7,2022,6.5,135.51484256620265,21004.341,Ore/Raw,2022-07-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,29304,7607,9,2013,1.5,106.32226499999997,27561.49,Refined/Articles,2013-09-01
7616 Articles Of Aluminum Nesoi,Malaysia,1742597,7616,7,2025,2.7,148.07891445527505,1176802.927,Refined/Articles,2025-07-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,772789,7607,8,2017,2.1,112.50341531513985,686902.702,Refined/Articles,2017-08-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,21263,7607,2,2025,2.7,148.07891445527505,14359.235,Refined/Articles,2025-02-01
"7407 Copper Bars, Rods And Profiles",Singapore,36960,7407,7,2012,1.7,104.75099999999999,35283.673,Refined/Articles,2012-07-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,6764090,7604,9,2025,2.7,148.07891445527505,4567895.453,Refined/Articles,2025-09-01
7608 Aluminum Tubes And Pipes,Singapore,4689,7608,9,2013,1.5,106.32226499999997,4410.177,Refined/Articles,2013-09-01
7404 Copper Waste And Scrap,Philippines,158373,7404,7,2010,1.5,100.0,158373.0,Ore/Raw,2010-07-01
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Cambodia,2182820,7614,12,2025,2.7,148.07891445527505,1474092.384,Refined/Articles,2025-12-01
7411 Copper Tubes And Pipes,Malaysia,7142873,7411,12,2012,1.7,104.75099999999999,6818906.741,Refined/Articles,2012-12-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,334753,7410,11,2012,1.7,104.75099999999999,319570.219,Refined/Articles,2012-11-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Singapore,61850,2846,11,2017,2.1,112.50341531513985,54976.109,Compound,2017-11-01
"7601 Aluminum, Unwrought",Thailand,220147,7601,10,2023,3.4,140.12234721345354,157110.557,Refined/Articles,2023-10-01
7616 Articles Of Aluminum Nesoi,Singapore,272771,7616,5,2019,2.3,117.27772275086842,232585.519,Refined/Articles,2019-05-01
7907 Articles Of Zinc Nesoi,Indonesia,12627,7907,12,2014,0.8,107.17284311999997,11781.903,Refined/Articles,2014-12-01
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,4152,8105,4,2013,1.5,106.32226499999997,3905.109,Ore/Raw,2013-04-01
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Singapore,2978,7403,9,2010,1.5,100.0,2978.0,Refined/Articles,2010-09-01
7907 Articles Of Zinc Nesoi,Malaysia,77257,7907,1,2013,1.5,106.32226499999997,72663.049,Refined/Articles,2013-01-01
7608 Aluminum Tubes And Pipes,Malaysia,12225,7608,3,2024,2.9,144.18589528264368,8478.638,Refined/Articles,2024-03-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,324277,7418,3,2013,1.5,106.32226499999997,304994.443,Other,2013-03-01
7605 Aluminum Wire,Indonesia,318540,7605,9,2012,1.7,104.75099999999999,304092.562,Refined/Articles,2012-09-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Indonesia,147291,7409,11,2024,2.9,144.18589528264368,102153.543,Refined/Articles,2024-11-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Singapore,2211,7409,4,2022,6.5,135.51484256620265,1631.556,Refined/Articles,2022-04-01
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,45029,8105,4,2014,0.8,107.17284311999997,42015.308,Ore/Raw,2014-04-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,14793,8108,9,2016,2.1,110.18943713529859,13425.062,Ore/Raw,2016-09-01
7412 Copper Tube Or Pipe Fittings,Singapore,1058766,7412,4,2025,2.7,148.07891445527505,715001.19,Other,2025-04-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,3069,7615,6,2019,2.3,117.27772275086842,2616.865,Other,2019-06-01
7616 Articles Of Aluminum Nesoi,Singapore,219508,7616,11,2016,2.1,110.18943713529859,199209.657,Refined/Articles,2016-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,142708,7607,11,2014,0.8,107.17284311999997,133156.867,Refined/Articles,2014-11-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,2322280,7607,4,2023,3.4,140.12234721345354,1657323.08,Refined/Articles,2023-04-01
7408 Copper Wire,Vietnam,1383440,7408,5,2024,2.9,144.18589528264368,959483.587,Refined/Articles,2024-05-01
7412 Copper Tube Or Pipe Fittings,Thailand,2598279,7412,8,2014,0.8,107.17284311999997,2424381.89,Other,2014-08-01
7412 Copper Tube Or Pipe Fittings,Singapore,92237,7412,1,2015,0.7,107.92305302183996,85465.521,Other,2015-01-01
7907 Articles Of Zinc Nesoi,Malaysia,199128,7907,1,2018,1.9,114.6409802061275,173697.049,Refined/Articles,2018-01-01
7605 Aluminum Wire,Malaysia,199727,7605,2,2020,1.4,118.91961086938058,167951.273,Refined/Articles,2020-02-01
7408 Copper Wire,Vietnam,1994862,7408,8,2024,2.9,144.18589528264368,1383534.774,Refined/Articles,2024-08-01
7616 Articles Of Aluminum Nesoi,Thailand,5344295,7616,5,2025,2.7,148.07891445527505,3609085.75,Refined/Articles,2025-05-01
"7508 Articles Of Nickel, Nesoi",Singapore,78093,7508,5,2025,2.7,148.07891445527505,52737.421,Refined/Articles,2025-05-01
"7604 Aluminum Bars, Rods And Profiles",Vietnam,5363827,7604,1,2017,2.1,112.50341531513985,4767701.483,Refined/Articles,2017-01-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,7209431,7606,5,2013,1.5,106.32226499999997,6780734.966,Refined/Articles,2013-05-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,294964,7612,2,2012,1.7,104.75099999999999,281585.856,Other,2012-02-01
7408 Copper Wire,Philippines,7777,7408,7,2015,0.7,107.92305302183996,7206.06,Refined/Articles,2015-07-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,134006,7418,3,2016,2.1,110.18943713529859,121614.198,Other,2016-03-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,79048,7610,6,2013,1.5,106.32226499999997,74347.551,Refined/Articles,2013-06-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,1254692,7610,1,2023,3.4,140.12234721345354,895426.051,Refined/Articles,2023-01-01
7411 Copper Tubes And Pipes,Thailand,150982,7411,6,2017,2.1,112.50341531513985,134202.148,Refined/Articles,2017-06-01
7616 Articles Of Aluminum Nesoi,Vietnam,497020,7616,1,2014,0.8,107.17284311999997,463755.542,Refined/Articles,2014-01-01
7411 Copper Tubes And Pipes,Malaysia,561025,7411,7,2019,2.3,117.27772275086842,478373.034,Refined/Articles,2019-07-01
"7601 Aluminum, Unwrought",Malaysia,71890,7601,2,2017,2.1,112.50341531513985,63900.282,Refined/Articles,2017-02-01
7411 Copper Tubes And Pipes,Indonesia,2196,7411,11,2023,3.4,140.12234721345354,1567.202,Refined/Articles,2023-11-01
7609 Aluminum Tube Or Pipe Fittings,Singapore,6082,7609,11,2020,1.4,118.91961086938058,5114.379,Other,2020-11-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,631799,7612,3,2018,1.9,114.6409802061275,551110.954,Other,2018-03-01
"7604 Aluminum Bars, Rods And Profiles",Thailand,1119183,7604,2,2024,2.9,144.18589528264368,776208.379,Refined/Articles,2024-02-01
7419 Articles Of Copper Nesoi,Vietnam,174486,7419,8,2013,1.5,106.32226499999997,164110.499,Refined/Articles,2013-08-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,1028251,7615,1,2018,1.9,114.6409802061275,896931.445,Other,2018-01-01
7419 Articles Of Copper Nesoi,Singapore,175392,7419,9,2021,7.0,127.24398363023722,137839.13,Refined/Articles,2021-09-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,114870,7607,5,2013,1.5,106.32226499999997,108039.459,Refined/Articles,2013-05-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,477923,7612,7,2024,2.9,144.18589528264368,331463.073,Other,2024-07-01
7907 Articles Of Zinc Nesoi,Thailand,524572,7907,6,2024,2.9,144.18589528264368,363816.446,Refined/Articles,2024-06-01
7613 Aluminum Containers For Compressed Or Liquefid Gas,Malaysia,17186,7613,8,2025,2.7,148.07891445527505,11605.974,Refined/Articles,2025-08-01
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,202807,7610,8,2016,2.1,110.18943713529859,184053.032,Refined/Articles,2016-08-01
7412 Copper Tube Or Pipe Fittings,Singapore,1326006,7412,3,2023,3.4,140.12234721345354,946320.145,Other,2023-03-01
7503 Nickel Waste And Scrap,Malaysia,49731,7503,4,2010,1.5,100.0,49731.0,Ore/Raw,2010-04-01
7419 Articles Of Copper Nesoi,Thailand,929468,7419,6,2023,3.4,140.12234721345354,663326.028,Refined/Articles,2023-06-01
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,1056842,7413,8,2010,1.5,100.0,1056842.0,Refined/Articles,2010-08-01
7616 Articles Of Aluminum Nesoi,Singapore,208864,7616,1,2011,3.0,103.0,202780.583,Refined/Articles,2011-01-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,13239,8108,4,2019,2.3,117.27772275086842,11288.589,Ore/Raw,2019-04-01
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,622853,2846,8,2018,1.9,114.6409802061275,543307.462,Compound,2018-08-01
7907 Articles Of Zinc Nesoi,Cambodia,22302,7907,4,2024,2.9,144.18589528264368,15467.532,Refined/Articles,2024-04-01
"7505 Nickel Bars, Rods, Profiles And Wire",Thailand,271127,7505,9,2023,3.4,140.12234721345354,193493.048,Refined/Articles,2023-09-01
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Philippines,3010,7415,9,2024,2.9,144.18589528264368,2087.583,Other,2024-09-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,242979,7410,5,2015,0.7,107.92305302183996,225140.962,Refined/Articles,2015-05-01
7412 Copper Tube Or Pipe Fittings,Indonesia,901158,7412,7,2014,0.8,107.17284311999997,840845.473,Other,2014-07-01
7408 Copper Wire,Thailand,450908,7408,2,2015,0.7,107.92305302183996,417805.082,Refined/Articles,2015-02-01
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,24506,8105,11,2022,6.5,135.51484256620265,18083.628,Ore/Raw,2022-11-01
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,820043,7612,12,2018,1.9,114.6409802061275,715314.016,Other,2018-12-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Philippines,13345,8108,7,2016,2.1,110.18943713529859,12110.961,Ore/Raw,2016-07-01
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,58299,8108,4,2023,3.4,140.12234721345354,41605.783,Ore/Raw,2023-04-01
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,4586,7410,3,2019,2.3,117.27772275086842,3910.376,Refined/Articles,2019-03-01
7616 Articles Of Aluminum Nesoi,Cambodia,126136,7616,12,2017,2.1,112.50341531513985,112117.485,Refined/Articles,2017-12-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,23095,7609,3,2016,2.1,110.18943713529859,20959.359,Other,2016-03-01
7616 Articles Of Aluminum Nesoi,Thailand,784893,7616,8,2011,3.0,103.0,762032.039,Refined/Articles,2011-08-01
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Vietnam,37476,7418,2,2022,6.5,135.51484256620265,27654.535,Other,2022-02-01
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Malaysia,13054,7615,2,2013,1.5,106.32226499999997,12277.767,Other,2013-02-01
7411 Copper Tubes And Pipes,Malaysia,1904253,7411,6,2021,7.0,127.24398363023722,1496536.768,Refined/Articles,2021-06-01
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,123576,7606,10,2012,1.7,104.75099999999999,117971.189,Refined/Articles,2012-10-01
7412 Copper Tube Or Pipe Fittings,Indonesia,688454,7412,10,2016,2.1,110.18943713529859,624791.285,Other,2016-10-01
7419 Articles Of Copper Nesoi,Singapore,99842,7419,7,2022,6.5,135.51484256620265,73676.062,Refined/Articles,2022-07-01
7605 Aluminum Wire,Malaysia,66043,7605,3,2021,7.0,127.24398363023722,51902.65,Refined/Articles,2021-03-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,2379559,7607,9,2019,2.3,117.27772275086842,2028994.889,Refined/Articles,2019-09-01
7608 Aluminum Tubes And Pipes,Vietnam,890150,7608,8,2023,3.4,140.12234721345354,635266.264,Refined/Articles,2023-08-01
7609 Aluminum Tube Or Pipe Fittings,Thailand,16381,7609,9,2022,6.5,135.51484256620265,12087.975,Other,2022-09-01
7419 Articles Of Copper Nesoi,Malaysia,316936,7419,11,2024,2.9,144.18589528264368,219810.682,Refined/Articles,2024-11-01
7412 Copper Tube Or Pipe Fittings,Malaysia,6418,7412,1,2020,1.4,118.91961086938058,5396.923,Other,2020-01-01
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,9170,7409,3,2019,2.3,117.27772275086842,7819.047,Refined/Articles,2019-03-01
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,125674,7607,2,2018,1.9,114.6409802061275,109623.975,Refined/Articles,2018-02-01
7602 Aluminum Waste And Scrap,Malaysia,103977,7602,2,2013,1.5,106.32226499999997,97794.192,Ore/Raw,2013-02-01
