Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
7412 Copper Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2024,26428
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2015,2501068
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2013,18955
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2025,13205540
7608 Aluminum Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2010,4210
7907 Articles Of Zinc Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2025,74274
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2025,1388568
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2014,442059
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2017,120236
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2022,325120
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2023,122430
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2017,14314377
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,July 2016,269545
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2014,1240720
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2019,2903332
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2019,1960789
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2010,8276
7503 Nickel Waste And Scrap,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2013,158343
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2017,257365
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2025,502183
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2023,2595982
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2024,615626
7608 Aluminum Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2019,182732
"7901 Zinc, Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2011,11370
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2021,33120
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2013,61705
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2021,9441
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,December 2022,4730
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2022,204475
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2021,6687366
7602 Aluminum Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2014,3302
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2023,22913
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2020,2959922
7411 Copper Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,July 2019,2141
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2012,92405
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2010,14566071
7602 Aluminum Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2011,132581
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2021,1090273
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2017,151688
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2014,112390
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2010,14746
7412 Copper Tube Or Pipe Fittings,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2025,1469244
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2020,3645
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2023,0
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2021,109309
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2022,4738
7411 Copper Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2015,241574
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2014,4961
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2016,575760
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,August 2013,100480
"7505 Nickel Bars, Rods, Profiles And Wire",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2011,2122
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2018,107184
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2015,42281
7907 Articles Of Zinc Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,December 2021,360089
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2012,10725
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,May 2013,694246
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2023,22883
7412 Copper Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2017,4880
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2023,25677
"7903 Zinc Dust, Powders And Flakes",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2022,343697
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,May 2015,9885430
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2021,3554002
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2020,6285
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2018,3415158
2846 Rare-earth Metal Compounds Of Yttrium Or Scandium,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2024,95564
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2015,544370
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2020,31862
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2016,34184
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,August 2016,7707
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2024,177953
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,August 2015,1112859
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2018,15920
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2014,77401
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,March 2021,94264
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2017,352519
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,All Country Subcodes,All Rate Provisions,All Districts,May 2013,970293
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2012,92039
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2013,99740
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2025,3230714
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2015,605676
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Philippines,All Country Subcodes,All Rate Provisions,All Districts,June 2025,15091
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2021,224243
7602 Aluminum Waste And Scrap,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2014,417908
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2010,188578
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,September 2010,6726
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2014,13499
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,January 2018,102152
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2020,294517
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2023,15750
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2021,3941742
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2016,6060
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2012,108529
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2019,29160
7404 Copper Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2020,22921
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,August 2022,1336504
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,March 2025,796726
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2023,8268
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,January 2022,2310
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2021,60709
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2015,270313
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2020,40218
"7604 Aluminum Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2018,1018768
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2011,1161037
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2016,10812
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2023,357277
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2021,507899
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2021,2617537
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2022,43932
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2019,692176
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2011,34555
7608 Aluminum Tubes And Pipes,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2020,55217
7616 Articles Of Aluminum Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2014,1292117
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2021,6342624
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2016,652738
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2015,480638
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2014,217175
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2021,2002044
7411 Copper Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2022,5950500
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2013,295692
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2020,799433
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2013,598231
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2014,6000
7404 Copper Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2018,51090
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2011,2250
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,September 2011,14040
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2025,96150
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2010,269268
2817 Zinc Oxide And Zinc Peroxide,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,April 2022,246367
7408 Copper Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2023,3200
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2022,70180
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2023,19224
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2020,15087
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,November 2024,26303
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2011,5156
"7604 Aluminum Bars, Rods And Profiles",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2012,715274
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2019,1365756
7616 Articles Of Aluminum Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,March 2022,991628
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2016,6425226
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2020,1801726
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2023,10283
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2010,2491
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2021,3783176
7609 Aluminum Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2013,175320
"7601 Aluminum, Unwrought",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2021,216806
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2022,19254364
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2021,478613
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2017,363968
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,October 2012,333431
2817 Zinc Oxide And Zinc Peroxide,Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2020,48136
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2022,69257
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2014,8153
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2014,10955
7419 Articles Of Copper Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,December 2011,37216
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2010,57839
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2021,25178
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2017,6600
7419 Articles Of Copper Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,April 2020,17239
7408 Copper Wire,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2016,941708
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2022,598994
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2012,3546405
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,June 2017,167741
7609 Aluminum Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2014,53344
7412 Copper Tube Or Pipe Fittings,Philippines,All Country Subcodes,All Rate Provisions,All Districts,September 2025,4440
3801 Artificial Graphite; Collodial Graphite & Prep Etc,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2024,3022
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Philippines,All Country Subcodes,All Rate Provisions,All Districts,January 2022,295531
7616 Articles Of Aluminum Nesoi,Burma,All Country Subcodes,All Rate Provisions,All Districts,August 2020,57562
"7604 Aluminum Bars, Rods And Profiles",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2021,11037791
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2016,630865
2817 Zinc Oxide And Zinc Peroxide,Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2022,33040
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,March 2015,228025
7609 Aluminum Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2012,19376
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2019,296005
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2018,325145
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2010,15176
7602 Aluminum Waste And Scrap,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2021,13952
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,March 2013,125694
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2025,763207
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,February 2021,107723
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,September 2020,24453
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2017,204139
2820 Manganese Oxides,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2012,38760
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2021,4432737
7412 Copper Tube Or Pipe Fittings,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,July 2018,2875
"7403 Refined Copper & Alloys (no Mast Alloy), Unwrought",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2025,2707
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2022,14310221
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2021,39464
"3606 Ferrocerium & Other Pyrophoric Alloys, Etc.",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2015,2646
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2023,1150988
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2019,1728034
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2015,94516
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,March 2016,123723
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2018,263284
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2015,277555
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2011,39310
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2025,7946
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2023,136259
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2023,4060886
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,November 2014,323489
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2024,977962
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2014,259081
7602 Aluminum Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2011,62057
"7409 Copper Plates, Sheets & Strip, Over 0.15MM Thick",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,June 2017,3386
7503 Nickel Waste And Scrap,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,October 2011,5267
7503 Nickel Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2018,477559
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2020,223187
"8105 Cobalt Mattes Etc, Cobalt & Art, Inc Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2013,7500
"7407 Copper Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2013,178120
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,June 2018,887874
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2011,680965
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2016,5396
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,August 2010,59243
7404 Copper Waste And Scrap,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2021,96540
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2010,17462
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,April 2021,9281797
7907 Articles Of Zinc Nesoi,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2017,212340
7419 Articles Of Copper Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2016,58763
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2025,4581249
"7604 Aluminum Bars, Rods And Profiles",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2011,1832987
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2024,447409
7605 Aluminum Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2012,18612
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2024,5017157
"7407 Copper Bars, Rods And Profiles",Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2014,286137
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2024,16529853
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,December 2025,472955
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,May 2013,1801278
7419 Articles Of Copper Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2013,74574
"7413 Stranded Wire, Cable Etc Of Copper, Not Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2012,75323
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Singapore,All Country Subcodes,All Rate Provisions,All Districts,June 2017,19452
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,October 2012,807385
