Commodities,Countries,Country Subcode,Rate Provision,District,Time,Customs Value (Gen) ($US) (Default Member)
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Thailand,All Country Subcodes,All Rate Provisions,All Districts,June 2022,407659
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2018,410974
2820 Manganese Oxides,Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2010,19380
2817 Zinc Oxide And Zinc Peroxide,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,March 2024,239808
7907 Articles Of Zinc Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2023,330458
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2013,224637
7610 Aluminum Structures Nesoi (no Prefab) & Parts Of,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2023,10872096
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2011,335991
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Thailand,All Country Subcodes,All Rate Provisions,All Districts,February 2024,87579
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2022,411014
"7604 Aluminum Bars, Rods And Profiles",Singapore,All Country Subcodes,All Rate Provisions,All Districts,February 2019,26507
7419 Articles Of Copper Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2018,93298
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2022,15137245
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Cambodia,All Country Subcodes,All Rate Provisions,All Districts,November 2025,1138998
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Thailand,All Country Subcodes,All Rate Provisions,All Districts,September 2023,143910
7412 Copper Tube Or Pipe Fittings,Singapore,All Country Subcodes,All Rate Provisions,All Districts,July 2023,1004123
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Singapore,All Country Subcodes,All Rate Provisions,All Districts,December 2023,40781
"7604 Aluminum Bars, Rods And Profiles",Philippines,All Country Subcodes,All Rate Provisions,All Districts,December 2014,5762
7608 Aluminum Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,September 2014,196713
7408 Copper Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2010,347081
7907 Articles Of Zinc Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,July 2020,22295
7907 Articles Of Zinc Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,January 2019,312297
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2021,808700
"8111 Manganese And Artcles Thereof, Inc Waste And Scrap",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2011,273840
7616 Articles Of Aluminum Nesoi,Singapore,All Country Subcodes,All Rate Provisions,All Districts,September 2012,207345
"7612 Aluminum Casks, Cans Etc Nov 300 Liter Capacity",Philippines,All Country Subcodes,All Rate Provisions,All Districts,October 2020,15192
"7508 Articles Of Nickel, Nesoi",Singapore,All Country Subcodes,All Rate Provisions,All Districts,April 2017,82610
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2014,51383
7408 Copper Wire,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2024,2185214
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,February 2021,11115
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2011,262031
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,November 2025,1414256
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2018,1691751
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Thailand,All Country Subcodes,All Rate Provisions,All Districts,December 2015,233453
7408 Copper Wire,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2016,3258
7608 Aluminum Tubes And Pipes,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2010,4121
"7508 Articles Of Nickel, Nesoi",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,September 2018,25227
"7614 Stranded Wire, Cables Etc, Aluminum, No Elec Insul",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2020,183984
7613 Aluminum Containers For Compressed Or Liquefid Gas,Thailand,All Country Subcodes,All Rate Provisions,All Districts,November 2024,108359
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2017,6993
"7418 Household Art & Pts, Cop; Pot Scourers Etc, Copper",Malaysia,All Country Subcodes,All Rate Provisions,All Districts,November 2023,6534
7412 Copper Tube Or Pipe Fittings,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,December 2021,4050942
7907 Articles Of Zinc Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,April 2016,12626
7605 Aluminum Wire,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,May 2023,27385
2817 Zinc Oxide And Zinc Peroxide,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,December 2023,237550
7616 Articles Of Aluminum Nesoi,Philippines,All Country Subcodes,All Rate Provisions,All Districts,March 2022,410657
7408 Copper Wire,Singapore,All Country Subcodes,All Rate Provisions,All Districts,August 2013,18302
7419 Articles Of Copper Nesoi,Indonesia,All Country Subcodes,All Rate Provisions,All Districts,January 2023,275575
7503 Nickel Waste And Scrap,Philippines,All Country Subcodes,All Rate Provisions,All Districts,February 2018,15814
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2018,2201
"7606 Aluminum Plates, Sheets & Strip Over .2mm Thick",Thailand,All Country Subcodes,All Rate Provisions,All Districts,October 2016,997935
"7601 Aluminum, Unwrought",Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2015,251684
"7415 Nails, Tacks Etc Of Copper Etc, Screws Etc, Copper",Vietnam,All Country Subcodes,All Rate Provisions,All Districts,July 2025,289154
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Philippines,All Country Subcodes,All Rate Provisions,All Districts,January 2023,8711
"7508 Articles Of Nickel, Nesoi",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,March 2024,528129
7616 Articles Of Aluminum Nesoi,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,November 2014,258673
"7615 Household Art Etc, Pot Scour Etc, San Wr, Aluminum",Indonesia,All Country Subcodes,All Rate Provisions,All Districts,June 2013,251147
7412 Copper Tube Or Pipe Fittings,Thailand,All Country Subcodes,All Rate Provisions,All Districts,January 2024,2366050
7907 Articles Of Zinc Nesoi,Cambodia,All Country Subcodes,All Rate Provisions,All Districts,January 2025,23843
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,July 2025,73957
7616 Articles Of Aluminum Nesoi,Malaysia,All Country Subcodes,All Rate Provisions,All Districts,February 2021,1185081
7608 Aluminum Tubes And Pipes,Thailand,All Country Subcodes,All Rate Provisions,All Districts,May 2020,37785
7607 Aluminum Foil (back Or Not) Nov .2mm Th (ex Back),Singapore,All Country Subcodes,All Rate Provisions,All Districts,October 2010,275664
"8108 Titanium & Articles Thereof, Includ Waste & Scrap",Singapore,All Country Subcodes,All Rate Provisions,All Districts,January 2018,434322
7410 Copper Foil (backed Or Not) Nov .15mm Th (ex Back),Philippines,All Country Subcodes,All Rate Provisions,All Districts,May 2017,51754
7404 Copper Waste And Scrap,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,April 2021,139818
7411 Copper Tubes And Pipes,Vietnam,All Country Subcodes,All Rate Provisions,All Districts,August 2016,7893808
