HS Code,Commodity Name,Year,Month,Country,Nominal Value,Annual Inflation Rate,CPI,Real Value,Category Type
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2016,,Chile,54513090,1.26,110.0632,49528897.94227317,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2017,,Chile,174339085,2.13,112.4076,155095460.62721738,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2018,,Chile,173726179,2.44,115.1503,150869063.3024838,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2019,,Chile,136032842,1.81,117.2345,116034820.80786799,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2020,,Chile,158051532,1.23,118.6765,133178457.40310845,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2021,,Chile,224685115,4.7,124.2543,180826832.55227384,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2022,,Chile,204986482,8.0,134.1947,152753038.68185553,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2023,,Chile,185197486,4.12,139.7235,132545696.32166387,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2024,,Chile,249501234,2.9,143.7755,173535292.17425779,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2025,,Chile,213030176,2.8,147.8012,144132913.670525,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2015,,Colombia,1668908,0.12,108.6937,1535422.936195934,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2016,,Colombia,3131741,1.26,110.0632,2845402.4596777125,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2017,,Colombia,1097501,2.13,112.4076,976358.3601108821,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2018,,Colombia,1348055,2.44,115.1503,1170691.6959834234,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2019,,Colombia,82369,1.81,117.2345,70260.03437554644,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2020,,Colombia,1186275,1.23,118.6765,999587.1128656474,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2021,,Colombia,8554451,4.7,124.2543,6884631.7592228195,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2022,,Colombia,9452022,8.0,134.1947,7043513.6410007235,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2023,,Colombia,6179377,4.12,139.7235,4422575.3005042095,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2024,,Colombia,16537831,2.9,143.7755,11502537.63680182,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2025,,Colombia,15169759,2.8,147.8012,10263623.705355573,Unknown
7106,"Silver (incl Prec Plated), Unwr, Semimfr Or Powder",2015,,Ecuador,9338,0.12,108.6937,8591.114296412763,Unknown
